Date,Open,High,Low,Close,Adj Close,Volume
2009-05-22,198.528534,199.524521,196.196198,196.946945,196.946945,3433700
2009-05-26,196.171173,202.702698,195.195190,202.382385,202.382385,6202700
2009-05-27,203.023026,206.136139,202.607605,202.982986,202.982986,6062500
2009-05-28,204.544540,206.016022,202.507507,205.405411,205.405411,5332200
2009-05-29,206.261261,208.823822,205.555557,208.823822,208.823822,5291100
2009-06-01,209.574570,215.015015,209.474472,213.493500,213.493500,6638100
2009-06-02,213.338333,215.195190,211.911911,214.414413,214.414413,5241900
2009-06-03,213.213211,216.446442,212.212219,216.041046,216.041046,7058500
2009-06-04,217.867874,220.840836,217.467468,220.360367,220.360367,7268900
2009-06-05,222.757751,223.893890,219.949951,222.382385,222.382385,7354200
2009-06-08,219.969971,220.680679,217.277283,219.604599,219.604599,6191200
2009-06-09,219.509506,220.470474,216.096100,218.028030,218.028030,6503200
2009-06-10,218.333328,219.164169,213.548553,216.516510,216.516510,6711000
2009-06-11,216.101105,217.082077,214.399399,214.714722,214.714722,5724600
2009-06-12,213.643646,214.064072,210.815811,212.632629,212.632629,5830900
2009-06-15,210.960968,210.960968,207.207214,208.593597,208.593597,7466300
2009-06-16,209.864868,210.755753,207.917923,208.208206,208.208206,6093300
2009-06-17,208.303299,210.070068,205.985992,207.787781,207.787781,6973200
2009-06-18,208.048050,209.554550,206.706711,207.237244,207.237244,6164200
2009-06-19,209.314316,210.440445,207.497498,210.255249,210.255249,8509600
2009-06-22,208.683685,208.953949,201.146149,203.878876,203.878876,8240500
2009-06-23,203.528534,204.699707,201.476471,203.043045,203.043045,5793400
2009-06-24,204.574570,206.321320,203.483490,204.849854,204.849854,4910600
2009-06-25,203.703705,208.158157,203.458466,208.093094,208.093094,6082900
2009-06-26,207.047043,214.329330,206.761765,212.872879,212.872879,6506800
2009-06-29,213.213211,214.114120,211.331329,212.282288,212.282288,4334200
2009-06-30,212.212219,213.818817,209.319321,211.006012,211.006012,5182600
2009-07-01,212.312317,213.413406,209.284286,209.704712,209.704712,4616900
2009-07-02,207.912918,207.912918,203.608612,204.449448,204.449448,5030100
2009-07-06,203.453461,205.525528,201.031036,205.010010,205.010010,4520600
2009-07-07,204.324326,204.799805,198.188187,198.513519,198.513519,6512000
2009-07-08,200.200195,203.203201,199.229233,201.446442,201.446442,6875500
2009-07-09,203.263260,207.432434,203.103104,205.400406,205.400406,6544600
2009-07-10,204.994995,208.893890,204.554550,207.407410,207.407410,5847300
2009-07-13,208.293289,212.472473,207.797791,212.362366,212.362366,8083300
2009-07-14,212.067062,213.578583,210.645645,212.557556,212.557556,5785800
2009-07-15,215.045044,219.559555,214.459457,219.304306,219.304306,7546400
2009-07-16,218.558563,223.098099,217.267273,221.521515,221.521515,13095800
2009-07-17,216.716721,217.957962,213.563568,215.340347,215.340347,13694400
2009-07-20,215.155151,216.641647,213.338333,215.300293,215.300293,6300600
2009-07-21,215.685684,216.166168,213.073074,214.164169,214.164169,5930400
2009-07-22,214.214218,215.315323,211.961960,214.059052,214.059052,5168200
2009-07-23,214.554550,220.825821,212.962967,218.888885,218.888885,6949400
2009-07-24,218.123123,225.470474,217.717712,223.583588,223.583588,7246500
2009-07-27,223.243240,223.598602,219.024017,222.622620,222.622620,5003700
2009-07-28,220.720718,221.626633,218.268265,220.145142,220.145142,5059900
